signal,program_code,exhibition_date,program_start_time,average_audience
BH,CASA,2020-04-18,2020-04-18T09:50:00.000Z,87024.49025974025
DF,EMPR,2020-04-26,2020-04-26T10:54:00.000Z,78273.5
SP1,TARA,2020-04-16,2020-04-16T17:56:00.000Z,1326189.1717171718
BH,PTV1,2020-06-09,2020-06-09T15:00:00.000Z,261924.88095238095
RJ,BPRA,2020-05-07,2020-05-07T09:00:00.000Z,506434.06040268455
DF,COR1,2020-06-14,2020-06-14T05:25:00.000Z,47823.515789473684
BH,MALH,2020-06-22,2020-06-22T21:09:00.000Z,759334.2962962963
SP1,N19H,2020-05-20,2020-05-20T22:46:00.000Z,2696195.2325581396
BH,BIGB,2020-04-12,2020-04-13T01:45:00.000Z,786262.8533333334
DF,SERA,2020-06-27,2020-06-27T08:50:00.000Z,27794.830508474577
SP1,NBRA,2020-05-08,2020-05-08T11:30:00.000Z,752274.5365853659
BH,TARA,2020-05-26,2020-05-26T17:56:00.000Z,293996.92
DF,HORA,2020-05-13,2020-05-13T07:00:00.000Z,26479.008333333335
DF,CORO,2020-05-15,2020-05-15T12:50:00.000Z,75914.67924528301
DF,BPRA,2020-05-15,2020-05-15T09:00:00.000Z,91264.73154362416
RJ,NBRA,2020-06-02,2020-06-02T11:30:00.000Z,597061.2222222222
DF,JGLO,2020-06-24,2020-06-24T03:19:00.000Z,46031.29508196721
RJ,NBRA,2020-05-11,2020-05-11T11:30:00.000Z,607991.35
DF,BIAL,2020-06-18,2020-06-18T04:45:00.000Z,28182.647058823528
BH,N18H,2020-04-24,2020-04-24T21:38:00.000Z,771735.1176470588
DF,NBRA,2020-06-17,2020-06-17T11:30:00.000Z,93517.03333333334
DF,N19H,2020-06-17,2020-06-17T22:41:00.000Z,421523.0
BH,COR1,2020-04-29,2020-04-29T05:03:00.000Z,145431.0
PE1,HUCK,2020-04-18,2020-04-18T19:04:00.000Z,471226.07096774195
SP1,COR2,2020-04-25,2020-04-25T08:08:00.000Z,295095.6
PE1,N20H,2020-04-24,2020-04-25T01:06:00.000Z,963837.4032258064
RJ,COR1,2020-04-23,2020-04-23T05:04:00.000Z,418364.8793103448
BH,BPRA,2020-04-22,2020-04-22T09:00:00.000Z,142571.6644295302
BH,JGLO,2020-05-22,2020-05-22T03:23:00.000Z,123950.16923076923
SP1,PTV1,2020-05-02,2020-05-02T15:00:00.000Z,1317394.4523809524
SP1,ANTE,2020-04-12,2020-04-12T10:26:00.000Z,622497.4285714285
DF,PTV1,2020-04-15,2020-04-15T15:00:00.000Z,261086.0705882353
BH,CIMA,2020-04-26,2020-04-26T04:22:00.000Z,183628.2530120482
SP1,TMAX,2020-05-03,2020-05-03T16:19:00.000Z,1252516.103448276
RJ,N18H,2020-04-16,2020-04-16T21:43:00.000Z,1859871.5806451612
RJ,FANT,2020-04-12,2020-04-12T23:00:00.000Z,1465665.1829268292
BH,CORO,2020-04-23,2020-04-23T12:47:00.000Z,106885.03448275862
BH,MALH,2020-04-23,2020-04-23T21:02:00.000Z,685272.96875
RJ,COR1,2020-05-30,2020-05-30T05:30:00.000Z,323633.7962962963
SP1,JGLO,2020-06-01,2020-06-01T03:36:00.000Z,909637.15
BH,SERA,2020-06-13,2020-06-13T08:56:00.000Z,26027.188679245282
PE1,VALE,2020-04-20,2020-04-20T19:50:00.000Z,920305.5352112676
DF,GLCO,2020-04-12,2020-04-12T10:27:00.000Z,63191.48148148148
DF,N20S,2020-04-11,2020-04-12T00:29:00.000Z,247913.45614035087
RJ,N20H,2020-04-27,2020-04-28T00:33:00.000Z,2559050.9166666665
BH,BIAL,2020-06-03,2020-06-03T04:24:00.000Z,88336.54545454546
SP1,BPRA,2020-04-15,2020-04-15T09:00:00.000Z,574254.5771812081
DF,JGLO,2020-05-22,2020-05-22T03:23:00.000Z,34721.26153846154
PE1,ESPO,2020-06-28,2020-06-28T13:00:00.000Z,160733.40880503145
RJ,JNAC,2020-05-18,2020-05-18T23:30:00.000Z,2020064.7313432836
PE1,N20S,2020-05-30,2020-05-31T00:40:00.000Z,810796.2156862745
PE1,PTV1,2020-05-02,2020-05-02T15:25:00.000Z,490620.0
SP1,N19H,2020-06-09,2020-06-09T22:41:00.000Z,2697720.0833333335
DF,N19H,2020-05-07,2020-05-07T22:45:00.000Z,400691.5681818182
DF,PTV2,2020-05-07,2020-05-07T22:08:00.000Z,386164.8378378378
PE1,PTV1,2020-04-13,2020-04-13T15:00:00.000Z,377336.71764705883
DF,BIAL,2020-06-10,2020-06-10T04:25:00.000Z,17897.19512195122
DF,HORA,2020-04-27,2020-04-27T07:00:00.000Z,31532.96638655462
BH,REPO,2020-05-22,2020-05-23T01:47:00.000Z,522295.98
SP1,TARA,2020-05-15,2020-05-15T18:00:00.000Z,1159776.3366336634
BH,JGLO,2020-06-09,2020-06-09T03:14:00.000Z,194048.9193548387
RJ,JHOJ,2020-06-26,2020-06-26T16:25:00.000Z,971138.5051546391
DF,EMPR,2020-06-07,2020-06-07T10:54:00.000Z,66941.61111111111
SP1,COR1,2020-05-16,2020-05-16T05:17:00.000Z,504525.80898876407
RJ,TARA,2020-05-06,2020-05-06T17:57:00.000Z,909753.2352941176
SP1,JHOJ,2020-05-20,2020-05-20T16:25:00.000Z,1392058.0
BH,N19H,2020-05-06,2020-05-06T22:42:00.000Z,859780.7021276596
SP1,JGLO,2020-05-05,2020-05-05T03:16:00.000Z,1620026.1791044776
PE1,CORO,2020-04-23,2020-04-23T12:47:00.000Z,208310.4655172414
RJ,N18H,2020-05-20,2020-05-20T21:37:00.000Z,1634066.2
PE1,TARA,2020-05-29,2020-05-29T17:56:00.000Z,444460.53
SP1,MISA,2020-06-28,2020-06-28T09:27:00.000Z,356398.9649122807
PE1,N18H,2020-05-12,2020-05-12T21:32:00.000Z,736170.6923076923
PE1,N19S,2020-05-09,2020-05-09T22:39:00.000Z,745236.02
RJ,AUTO,2020-05-10,2020-05-10T12:14:00.000Z,611027.2903225806
SP1,VALE,2020-05-26,2020-05-26T19:32:00.000Z,1717811.7582417582
